ms_subclass,lot_frontage,lot_area,lot_shape,utilities,neighborhood,overall_qual,overall_cond,year_remod/add,mas_vnr_area,exter_qual,exter_cond,bsmt_exposure,total_bsmt_sf,heating_qc,electrical,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_cars,garage_area,pool_area,pool_qc,yr_sold,saleprice,condition_3,bldg_type_1Fam,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,exterior_3rd,bsmt_qual_cond_merged,bsmtfin_type_merged,bsmtfin_sf_merged,garage_qual_cond_merged
60,69.05520046484602,13517,3,4,2,6,8,2005,289.0,4,3,1,725.0,5,1,725,754,1479,0.0,0.0,2,1,3,1,4,6,1,0,0,2.0,475.0,0,0,2010,130500,2,1,0,0,0,0,2,6,7,533.0,6
60,43.0,11492,3,4,3,7,5,1997,132.0,4,3,1,913.0,5,1,913,1209,2122,1.0,0.0,2,1,4,1,4,8,1,1,3,2.0,559.0,0,0,2009,220000,0,1,0,0,0,0,4,7,7,637.0,6
20,68.0,7922,4,4,2,5,7,2007,0.0,3,4,1,1057.0,3,1,1057,0,1057,1.0,0.0,1,0,3,1,4,5,1,0,0,1.0,246.0,0,0,2010,109000,0,1,0,0,0,0,4,6,7,731.0,6
60,73.0,9802,4,4,4,5,5,2007,0.0,3,3,1,384.0,4,1,744,700,1444,0.0,0.0,2,1,3,1,3,7,1,0,0,2.0,400.0,0,0,2010,174000,0,1,0,0,0,0,4,7,2,0.0,6
50,82.0,14235,3,4,3,6,8,1993,0.0,3,3,1,676.0,3,1,831,614,1445,0.0,0.0,2,0,3,1,3,6,1,0,0,2.0,484.0,0,0,2010,138500,0,1,0,0,0,0,2,6,2,0.0,6
20,137.0,16492,3,4,2,6,6,2002,0.0,4,3,1,1517.0,5,1,1888,0,1888,0.0,0.0,2,1,2,1,4,6,0,1,4,2.0,578.0,0,0,2010,190000,2,1,0,0,0,0,2,6,8,960.0,6
180,35.0,3675,4,4,2,6,5,2006,82.0,3,3,4,547.0,4,1,1072,0,1072,1.0,0.0,2,0,2,1,3,5,1,0,0,2.0,525.0,0,0,2006,140000,0,0,0,0,0,1,4,7,7,547.0,6
20,69.05520046484602,12160,3,4,2,5,5,1959,180.0,3,3,1,1188.0,2,1,1188,0,1188,1.0,0.0,1,0,3,1,3,6,1,0,0,2.0,531.0,0,0,2010,142000,0,1,0,0,0,0,2,6,4,1000.0,6
20,69.05520046484602,15783,4,4,1,5,5,1952,0.0,3,3,1,924.0,3,1,924,0,924,0.0,0.0,1,0,2,1,3,6,1,0,0,1.0,420.0,0,0,2007,112500,0,1,0,0,0,0,2,6,4,292.0,6
60,70.0,11606,3,4,2,5,5,1969,192.0,3,3,3,1040.0,3,1,1040,1040,2080,0.0,1.0,1,2,5,1,2,9,1,2,3,2.0,504.0,0,0,2007,135000,0,1,0,0,0,0,2,7,4,650.0,6
